X,Y,Z
2232240.127333229,704295.9429260435,5925881.297514945
2232240.500523125,704299.9161200108,5925880.684717992
2232243.1391051314,704306.189104941,5925878.515149171
2232248.621935481,704317.3863520594,5925875.764075189
2232251.3251063433,704321.8805465229,5925874.211645801
2232257.061013491,704332.4294822217,5925870.367068716
2232258.3692699084,704334.4701511838,5925869.631703801
2232263.5708901663,704343.9081189679,5925866.980558772
2232265.6650820333,704347.1392516157,5925866.0226667775
2232272.542560953,704360.7902759153,5925862.454464186
2232273.5551787643,704363.0804115295,5925861.800800008
2232277.995614514,704371.5929161605,5925859.331298251
2232282.534273547,704380.4363348982,5925856.140330726
2232283.4870895753,704384.9781418152,5925855.241536432
2232283.414731584,704386.9259477993,5925855.03726488
2232282.934708704,704387.7597979936,5925855.118973506
2232282.078204129,704389.9314097322,5925855.613563648
2232281.167051363,704391.100457299,5925855.817835169
2232272.149035072,704401.3638468089,5925858.209978394
2232261.8158493754,704411.426360011,5925860.906351881
2232259.065535413,704414.199861129,5925861.827738896
2232250.5460188114,704425.777087422,5925864.305918948
2232246.5333104758,704432.6503784906,5925865.000436211
2232243.5269654444,704438.9844418046,5925865.59498942
2232237.361785591,704451.6472675831,5925866.412067549
2232232.16323033,704461.102242056,5925866.8162632305
2232228.3951280382,704466.4675936952,5925866.95273657
2232220.290510516,704483.0593162164,5925869.108420254
2232213.4919295493,704496.5074588226,5925868.995425165
2232210.135444119,704502.4310657448,5925869.340509421
2232208.9270001883,704506.847762302,5925869.485669755
2232210.167074973,704515.0360561765,5925869.33528802
2232210.7816985087,704517.1578508894,5925869.711659974
2232210.9718047986,704518.074656558,5925869.961126563
2232212.3598521696,704522.06849122,5925869.3935166355
2232214.130116398,704526.225808359,5925868.662490076
2232215.2091860054,704529.1368088768,5925868.34000142
2232215.839543628,704530.6209761483,5925868.571211608
2232216.939233242,704533.3671289838,5925868.475589855
2232218.8838100345,704540.7068535783,5925866.655415486
2232219.131521476,704543.9552469249,5925864.885667709
2232219.296884839,704545.5925457067,5925864.413675389
2232219.5357584045,704552.6938240335,5925862.834281536
2232219.556754082,704553.8571524681,5925862.257983406
2232220.7634529895,704559.1218795904,5925860.102290182
2232221.3230682556,704560.540897901,5925859.507734629
2232226.0122565273,704568.661316194,5925856.130750162
2232226.580196989,704569.9544463644,5925855.76306126
2232229.847482193,704575.6982476491,5925854.70952313
2232235.6397353928,704591.3642715026,5925850.6649272
2232241.0184663255,704604.0723350972,5925846.6976893665
2232246.596540343,704613.5445794753,5925843.470158485
2232252.374812807,704621.7948091339,5925840.097458275
2232254.596275235,704625.7520269838,5925838.790096324
2232257.7956045577,704629.1610807132,5925837.609627622
2232261.578361595,704632.8828338349,5925835.957156499
2232266.1297447635,704637.3613310581,5925833.710115374
2232269.5096367374,704641.0844654457,5925831.994189383
2232270.718496307,704642.4085923971,5925831.381357901
2232276.9994487944,704647.0046546127,5925828.253748417
2232278.5037073917,704647.7365498191,5925827.600058995
2232279.8849812923,704648.8580516411,5925826.946369112
2232287.434696713,704657.924725097,5925823.024220106
2232295.2830255227,704665.4576754067,5925818.956898014
2232298.8613079903,704670.9572452063,5925816.954953041
2232299.9835827425,704671.8684780425,5925816.423824054
2232300.9826317197,704672.8264995042,5925815.933550874
2232309.141398183,704682.8567713915,5925812.097386451
2232317.161337984,704693.9143845085,5925808.406357931
2232323.9174235156,704701.9596118503,5925805.119561778
2232327.1612121146,704705.0829773013,5925803.526151289
2232335.3820413295,704716.9325279477,5925798.805033103
2232340.0011954433,704724.0890542814,5925796.643924371
2232341.1122898404,704726.7534228838,5925795.908497575
2232341.9400285436,704729.6282550931,5925795.254784377
2232343.296569375,704736.568901099,5925794.133368196
2232346.4204698554,704744.8815683773,5925791.967936795
2232347.7428915105,704750.3119128541,5925790.823933254
2232353.1534516066,704769.5437030572,5925785.853300827
2232358.5168597726,704784.3048330424,5925782.50728464
2232363.4294126793,704801.2802442224,5925778.85266845
2232367.439115586,704813.5575909968,5925776.0969115095
2232375.0053326436,704830.4713002171,5925771.234802113
2232382.444155327,704841.9034245802,5925766.427510482
2232384.3436852125,704844.1313434289,5925765.44690948
2232394.31817552,704855.3787001639,5925760.566464959
2232400.6564183566,704866.4635085749,5925757.075192118
2232401.504427178,704868.8307711304,5925756.689179364
2232400.8521032142,704883.4070890909,5925755.631140585
2232399.570115012,704889.772172971,5925755.571997654
2232398.8804598656,704897.3526320603,5925755.14512445
2232399.219950043,704907.6575270698,5925754.436528042
2232399.6644590087,704908.9976174859,5925754.109656158
2232400.3800331615,704910.166215773,5925753.701066143
2232402.4604960717,704912.4085117006,5925752.865600565
2232405.56103787,704915.1443070177,5925752.447301761
2232406.794135567,704916.0478487345,5925751.875273861
2232413.080060709,704920.1751178232,5925750.521496183
2232417.067615634,704922.1626675358,5925749.858033404
2232420.742574489,704924.3086008597,5925748.863406782
2232423.718605556,704926.0195986094,5925747.9687837185
2232425.634380668,704927.3101079062,5925747.523613602
2232428.7227152213,704931.4132246346,5925746.302110701
2232429.6157334377,704933.1949017213,5925746.183815205
2232430.9431837257,704939.1415063202,5925746.051513759
